x_center,y_center,box_length,score
186.0,111.0,43.0,0.8806537389755249
963.0,253.0,35.0,0.7822474837303162
325.0,693.0,26.0,0.7811033725738525
1003.0,816.0,29.0,0.7139642834663391
756.0,879.0,19.0,0.7138428092002869
480.0,249.0,17.0,0.6935313940048218
811.0,576.0,19.0,0.6730062961578369
892.0,984.0,21.0,0.640010416507721
855.0,162.0,21.0,0.6269153952598572
430.0,554.0,17.0,0.6083972454071045
288.0,314.0,17.0,0.5942199230194092
171.0,567.0,21.0,0.5858848094940186
451.0,277.0,26.0,0.5833636522293091
235.0,666.0,21.0,0.5750388503074646
156.0,578.0,21.0,0.5669339299201965
615.0,85.0,17.0,0.5447419285774231
250.0,378.0,21.0,0.5390527844429016
368.0,761.0,31.0,0.5362258553504944
744.0,980.0,29.0,0.516483724117279
