x_center,y_center,box_length,score
289.0,467.0,35.0,0.9122923612594604
771.0,611.0,32.0,0.9034664034843445
46.0,900.0,35.0,0.8747607469558716
351.0,705.0,29.0,0.8695271015167236
952.0,969.0,29.0,0.8364570140838623
371.0,844.0,29.0,0.8352649807929993
480.0,725.0,26.0,0.8283395767211914
518.0,943.0,29.0,0.820770800113678
373.0,927.0,32.0,0.8099726438522339
167.0,520.0,26.0,0.8047547340393066
720.0,463.0,29.0,0.7980132102966309
880.0,710.0,21.0,0.7926689982414246
161.0,655.0,32.0,0.7881377935409546
119.0,570.0,21.0,0.773522675037384
761.0,461.0,21.0,0.7660430073738098
86.0,836.0,26.0,0.7503528594970703
403.0,635.0,21.0,0.7501700520515442
168.0,630.0,24.0,0.7411040663719177
133.0,768.0,24.0,0.7389835715293884
291.0,399.0,29.0,0.7383846640586853
341.0,558.0,21.0,0.7355556488037109
747.0,747.0,31.0,0.7259012460708618
67.0,311.0,21.0,0.7203859686851501
145.0,987.0,29.0,0.7189644575119019
559.0,595.0,29.0,0.7136368155479431
913.0,899.0,24.0,0.6948361396789551
290.0,574.0,19.0,0.6944650411605835
21.0,509.0,29.0,0.6907818913459778
448.0,981.0,24.0,0.6796509027481079
916.0,930.0,19.0,0.6723017692565918
187.0,135.0,21.0,0.6676453351974487
416.0,992.0,21.0,0.6650000214576721
626.0,880.0,17.0,0.6480764150619507
74.0,485.0,17.0,0.61008620262146
98.0,784.0,19.0,0.6086911559104919
633.0,765.0,17.0,0.6041776537895203
798.0,139.0,21.0,0.5964900255203247
368.0,1012.0,19.0,0.5964443683624268
835.0,706.0,19.0,0.5868620872497559
144.0,822.0,21.0,0.5774633884429932
569.0,846.0,24.0,0.5755472183227539
112.0,515.0,17.0,0.5705432295799255
78.0,462.0,17.0,0.5619334578514099
130.0,880.0,17.0,0.5564089417457581
400.0,658.0,21.0,0.5474588871002197
844.0,595.0,21.0,0.529128909111023
498.0,906.0,17.0,0.5288978815078735
69.0,803.0,17.0,0.5284802913665771
52.0,792.0,17.0,0.5245394706726074
208.0,785.0,17.0,0.5074927806854248
628.0,962.0,17.0,0.5026766061782837
309.0,346.0,19.0,0.5025379061698914
