x_center,y_center,box_length,score
869.0,478.0,29.0,0.8018031120300293
51.0,326.0,29.0,0.767688512802124
771.0,590.0,21.0,0.7569938898086548
141.0,743.0,24.0,0.7534787654876709
301.0,356.0,35.0,0.7428264021873474
694.0,590.0,24.0,0.7398378849029541
435.0,846.0,24.0,0.6862610578536987
314.0,966.0,19.0,0.6781783699989319
250.0,610.0,24.0,0.6659407019615173
806.0,679.0,17.0,0.6562910079956055
519.0,602.0,29.0,0.6543930172920227
296.0,906.0,21.0,0.6448842883110046
229.0,949.0,19.0,0.5950692296028137
835.0,948.0,19.0,0.5895304083824158
307.0,927.0,21.0,0.5770597457885742
703.0,864.0,19.0,0.5728763937950134
78.0,582.0,17.0,0.5575571656227112
393.0,695.0,26.0,0.5460102558135986
440.0,879.0,21.0,0.532669186592102
657.0,269.0,19.0,0.5014303922653198
380.0,708.0,24.0,0.5012213587760925
