x_center,y_center,box_length,score
966.0,533.0,21.0,0.7504923939704895
273.0,835.0,21.0,0.7078931331634521
726.0,927.0,17.0,0.645830512046814
100.0,457.0,17.0,0.5677708387374878
99.0,738.0,19.0,0.5642515420913696
814.0,670.0,17.0,0.5629278421401978
34.0,949.0,17.0,0.5537604093551636
803.0,182.0,21.0,0.5537148714065552
501.0,758.0,17.0,0.5444560050964355
977.0,714.0,17.0,0.5434587597846985
202.0,865.0,17.0,0.5358374714851379
560.0,750.0,17.0,0.5246394276618958
983.0,399.0,17.0,0.5093486309051514
