x_center,y_center,box_length,score
712.0,229.0,32.0,0.856472373008728
648.0,311.0,26.0,0.8333930373191833
639.0,907.0,29.0,0.8329656720161438
844.0,995.0,26.0,0.8312708139419556
731.0,667.0,29.0,0.8235409259796143
188.0,699.0,26.0,0.8228650689125061
958.0,210.0,26.0,0.8195456266403198
701.0,611.0,24.0,0.8178703188896179
209.0,742.0,26.0,0.8140650391578674
269.0,268.0,24.0,0.8023654818534851
498.0,834.0,24.0,0.7994868755340576
211.0,509.0,26.0,0.7946653962135315
507.0,559.0,26.0,0.7927505373954773
556.0,896.0,26.0,0.7870030403137207
873.0,379.0,24.0,0.7820056676864624
448.0,880.0,24.0,0.778147280216217
707.0,387.0,21.0,0.7775781154632568
64.0,168.0,24.0,0.7769196033477783
448.0,53.0,21.0,0.775731086730957
790.0,590.0,26.0,0.7694290280342102
988.0,450.0,31.0,0.7690339684486389
318.0,320.0,23.0,0.7669402956962585
451.0,640.0,26.0,0.7644131779670715
142.0,377.0,24.0,0.7604411840438843
33.0,628.0,24.0,0.7546606063842773
241.0,294.0,24.0,0.7452350854873657
701.0,900.0,24.0,0.7420642971992493
465.0,803.0,24.0,0.7418132424354553
252.0,942.0,26.0,0.7296114563941956
733.0,952.0,24.0,0.7248467803001404
624.0,204.0,21.0,0.7235892415046692
603.0,209.0,21.0,0.7183815836906433
438.0,415.0,24.0,0.7157195806503296
248.0,982.0,26.0,0.7118874192237854
246.0,52.0,24.0,0.7113305926322937
222.0,266.0,24.0,0.7105908393859863
487.0,67.0,24.0,0.706222414970398
349.0,859.0,21.0,0.7062195539474487
461.0,113.0,21.0,0.6975147128105164
929.0,690.0,21.0,0.6964536309242249
998.0,894.0,26.0,0.685263454914093
779.0,631.0,24.0,0.6667935252189636
941.0,56.0,21.0,0.6650080680847168
842.0,773.0,17.0,0.6553716063499451
302.0,985.0,21.0,0.6522088646888733
78.0,601.0,21.0,0.6491450667381287
671.0,198.0,24.0,0.648195207118988
736.0,364.0,17.0,0.6479519605636597
809.0,392.0,21.0,0.6465082168579102
911.0,82.0,24.0,0.6403148174285889
813.0,54.0,21.0,0.6327852010726929
255.0,467.0,21.0,0.6325847506523132
818.0,767.0,17.0,0.6238371729850769
123.0,468.0,19.0,0.6227000951766968
452.0,856.0,21.0,0.6222894191741943
94.0,42.0,21.0,0.620639443397522
285.0,753.0,17.0,0.6178597807884216
484.0,504.0,17.0,0.61294025182724
289.0,849.0,21.0,0.61286461353302
313.0,44.0,21.0,0.607642650604248
788.0,321.0,25.0,0.598206102848053
463.0,593.0,21.0,0.594489574432373
181.0,783.0,21.0,0.5936049818992615
780.0,33.0,24.0,0.5905909538269043
454.0,555.0,21.0,0.5900707840919495
848.0,437.0,19.0,0.5890840291976929
540.0,557.0,19.0,0.5823975801467896
804.0,820.0,17.0,0.5745548605918884
846.0,527.0,17.0,0.5728920102119446
101.0,168.0,19.0,0.5704686641693115
429.0,286.0,17.0,0.5694801807403564
11.0,46.0,21.0,0.5682603716850281
572.0,226.0,21.0,0.5682017207145691
326.0,981.0,19.0,0.5664736032485962
219.0,648.0,21.0,0.5660845637321472
437.0,343.0,24.0,0.5655579566955566
545.0,395.0,17.0,0.561172604560852
807.0,518.0,17.0,0.5574015378952026
612.0,86.0,21.0,0.5514631271362305
336.0,210.0,17.0,0.5506725311279297
718.0,880.0,17.0,0.550251305103302
894.0,209.0,17.0,0.5502370595932007
571.0,497.0,19.0,0.5491886734962463
712.0,454.0,17.0,0.5419375896453857
427.0,788.0,17.0,0.5410847663879395
565.0,391.0,17.0,0.5387389659881592
28.0,853.0,17.0,0.5370736122131348
75.0,761.0,21.0,0.5348930358886719
321.0,643.0,17.0,0.5332903861999512
589.0,554.0,17.0,0.5318765044212341
406.0,904.0,17.0,0.5312001705169678
194.0,443.0,17.0,0.5258597135543823
851.0,506.0,21.0,0.5248622298240662
522.0,578.0,17.0,0.5140278935432434
413.0,128.0,17.0,0.5137109160423279
769.0,940.0,17.0,0.5131016969680786
217.0,797.0,21.0,0.5117480754852295
405.0,631.0,17.0,0.5089224576950073
904.0,1015.0,17.0,0.5062351226806641
256.0,496.0,17.0,0.505873441696167
332.0,848.0,17.0,0.5020899772644043
766.0,871.0,25.0,0.5008906722068787
