x_center,y_center,box_length,score
975.0,40.0,48.0,0.8708983659744263
613.0,303.0,46.0,0.8553271293640137
544.0,32.0,37.0,0.8484836220741272
109.0,91.0,42.0,0.8317155241966248
378.0,446.0,37.0,0.8011707067489624
853.0,206.0,32.0,0.7710197567939758
20.0,274.0,35.0,0.7628018856048584
810.0,273.0,43.0,0.6931677460670471
814.0,331.0,29.0,0.6436409950256348
442.0,332.0,29.0,0.6404448747634888
147.0,714.0,21.0,0.6226428151130676
324.0,80.0,27.0,0.6126932501792908
751.0,127.0,29.0,0.6090410947799683
553.0,797.0,26.0,0.5981536507606506
431.0,15.0,26.0,0.5901663899421692
794.0,18.0,21.0,0.5287164449691772
875.0,993.0,24.0,0.5083413124084473
815.0,486.0,26.0,0.5048800706863403
470.0,508.0,29.0,0.5040918588638306
