x_center,y_center,box_length,score
536.0,661.0,26.0,0.8430352807044983
749.0,705.0,29.0,0.8323971033096313
540.0,972.0,29.0,0.7957883477210999
872.0,484.0,26.0,0.7948384881019592
678.0,164.0,29.0,0.7934443950653076
262.0,95.0,24.0,0.793257474899292
706.0,422.0,24.0,0.7487334609031677
179.0,508.0,31.0,0.7392579913139343
330.0,211.0,26.0,0.7346616983413696
905.0,980.0,21.0,0.710875391960144
678.0,422.0,21.0,0.689408004283905
756.0,196.0,19.0,0.6817775964736938
635.0,1002.0,17.0,0.6732025742530823
665.0,787.0,24.0,0.6532142162322998
573.0,809.0,24.0,0.6530407071113586
415.0,818.0,21.0,0.642113447189331
250.0,1000.0,24.0,0.6326959729194641
951.0,460.0,19.0,0.6171545386314392
1004.0,794.0,21.0,0.5979490876197815
746.0,423.0,24.0,0.5910741090774536
438.0,50.0,19.0,0.5867850184440613
557.0,745.0,17.0,0.5767070651054382
49.0,638.0,21.0,0.5595656633377075
507.0,558.0,26.0,0.5440830588340759
53.0,944.0,21.0,0.5407419204711914
434.0,88.0,19.0,0.5379992127418518
454.0,967.0,17.0,0.5336957573890686
562.0,669.0,19.0,0.5208100080490112
155.0,626.0,17.0,0.5188533663749695
405.0,764.0,17.0,0.5122995972633362
773.0,773.0,21.0,0.5104710459709167
802.0,194.0,21.0,0.5089282989501953
813.0,841.0,19.0,0.5078178644180298
324.0,56.0,17.0,0.5006105899810791
