x_center,y_center,box_length,score
618.0,244.0,29.0,0.8336341381072998
821.0,188.0,26.0,0.8250324726104736
273.0,221.0,24.0,0.8072191476821899
522.0,347.0,26.0,0.7831026315689087
33.0,996.0,29.0,0.7788468599319458
439.0,501.0,24.0,0.7766793966293335
992.0,655.0,21.0,0.7705491781234741
713.0,266.0,35.0,0.7695133686065674
850.0,451.0,26.0,0.7669121026992798
361.0,975.0,26.0,0.7546912431716919
378.0,392.0,21.0,0.7413943409919739
677.0,357.0,29.0,0.7412518858909607
693.0,705.0,35.0,0.7294155359268188
656.0,510.0,21.0,0.7218127250671387
402.0,979.0,21.0,0.7192538380622864
692.0,551.0,36.0,0.7181532382965088
960.0,693.0,26.0,0.7156032919883728
219.0,214.0,21.0,0.7147813439369202
331.0,895.0,21.0,0.710830569267273
479.0,424.0,24.0,0.7099853754043579
897.0,764.0,24.0,0.7094483375549316
515.0,394.0,21.0,0.7027739882469177
907.0,699.0,29.0,0.6977409720420837
905.0,499.0,17.0,0.6905312538146973
533.0,954.0,26.0,0.6820290088653564
529.0,481.0,17.0,0.6818028092384338
559.0,957.0,21.0,0.6775315403938293
381.0,331.0,19.0,0.6665769219398499
119.0,634.0,21.0,0.6661768555641174
859.0,819.0,17.0,0.657617449760437
113.0,427.0,21.0,0.6574118137359619
886.0,866.0,21.0,0.6562407612800598
195.0,163.0,21.0,0.65449458360672
100.0,677.0,17.0,0.6538892388343811
552.0,381.0,21.0,0.651395320892334
911.0,582.0,17.0,0.6500567197799683
334.0,487.0,21.0,0.6478770971298218
417.0,567.0,17.0,0.6438735127449036
44.0,635.0,17.0,0.6414322853088379
24.0,186.0,26.0,0.6407380700111389
897.0,994.0,29.0,0.6401893496513367
869.0,576.0,26.0,0.6360854506492615
269.0,877.0,17.0,0.6344357132911682
722.0,719.0,21.0,0.6344255208969116
381.0,836.0,19.0,0.6338808536529541
199.0,757.0,19.0,0.6318644881248474
840.0,152.0,17.0,0.6313905715942383
270.0,602.0,24.0,0.6267271041870117
1003.0,547.0,17.0,0.6250284314155579
254.0,507.0,17.0,0.6201941967010498
1010.0,951.0,21.0,0.6146755814552307
891.0,158.0,17.0,0.6138596534729004
164.0,947.0,36.0,0.6108487844467163
767.0,957.0,17.0,0.6046456098556519
440.0,916.0,17.0,0.6031413078308105
169.0,54.0,24.0,0.6025336980819702
831.0,953.0,17.0,0.6005282998085022
565.0,50.0,17.0,0.5964672565460205
445.0,18.0,19.0,0.5959786176681519
179.0,488.0,24.0,0.5938280820846558
401.0,660.0,17.0,0.5870368480682373
299.0,673.0,17.0,0.5863119959831238
99.0,504.0,21.0,0.5807850360870361
82.0,676.0,17.0,0.5764666795730591
401.0,459.0,17.0,0.5754003524780273
394.0,276.0,17.0,0.5751889944076538
936.0,560.0,21.0,0.5708662867546082
548.0,900.0,17.0,0.5648170709609985
770.0,651.0,17.0,0.5617865324020386
940.0,652.0,17.0,0.5604752898216248
33.0,114.0,21.0,0.5591307878494263
767.0,763.0,17.0,0.5527351498603821
92.0,556.0,17.0,0.550764799118042
110.0,708.0,21.0,0.5469189286231995
995.0,347.0,21.0,0.5452814102172852
317.0,740.0,17.0,0.532063364982605
755.0,250.0,17.0,0.5320411324501038
582.0,899.0,17.0,0.5264953970909119
479.0,32.0,17.0,0.5175926685333252
226.0,328.0,29.0,0.5172296762466431
582.0,116.0,17.0,0.510837972164154
571.0,778.0,21.0,0.5075551271438599
489.0,118.0,21.0,0.5016676187515259
