index,decanoic acid (mM),decanoate (mM),decylamine (mM),decyl trimethylamine (mM),decylsulfate (mM),decanol (mM),monocaprin (mM),num_vesicles
33,1.5999999999999999,3.0500000000000003,4.6,3.6500000000000004,0.51,1.05,0.36499999999999994,6
34,4.75,0.57,2.2,0.57,4.949999999999999,0.26999999999999996,0.6800000000000002,22
35,2.975,1.25,2.85,2.825,4.75,0.6449999999999999,0.51,41
36,1.625,2.7000000000000006,1.45,0.7300000000000001,4.000000000000001,0.2504999999999999,0.36999999999999994,14
37,3.1500000000000004,0.22999999999999995,4.075,1.25,0.855,0.14399999999999993,0.11699999999999981,5
38,3.725,0.735,2.375,0.37499999999999994,4.05,0.3975,0.56,28
39,0.765,1.625,1.5999999999999999,4.35,3.6500000000000004,0.2745,0.6399999999999999,4
40,4.625000000000002,4.375,3.425,1.3999999999999997,0.8,0.9599999999999999,0.635,20
41,0.39499999999999996,2.075,4.1,1.5000000000000004,4.75,0.3825,0.955,42
42,1.8999999999999997,0.66,3.575000000000001,0.6449999999999999,1.725,0.5399999999999999,0.565,10
43,3.9000000000000004,4.475,1.5250000000000001,1.125,1.15,0.5775,0.585,16
44,1.275,0.78,4.6499999999999995,4.674999999999999,0.24,1.155,0.56,8
45,2.2250000000000005,4.525000000000002,4.3,2.5999999999999996,0.75,1.215,0.13399999999999998,7
46,2.1,1.3499999999999999,0.9949999999999999,4.4,1.625,1.32,0.9799999999999999,8
47,4.575000000000001,0.5399999999999999,0.5399999999999999,3.7500000000000004,1.025,0.8324999999999999,0.9300000000000002,28
0,0.5,0.4449999999999999,0.032999999999999904,1.3999999999999997,1.7500000000000004,0.3975,0.345,4
1,5.0,0.91,0.05999999999999992,0.0,1.125,0.11249999999999998,0.39999999999999997,0
2,3.6250000000000004,0.37499999999999994,0.57,0.6849999999999999,0.9200000000000002,0.0,0.28,1
3,0.435,0.99,0.023999999999999955,0.0,2.85,0.4725,0.5399999999999999,0
4,3.0,0.345,1.5999999999999999,2.675,0.485,0.765,0.205,0
5,0.86,0.565,0.83,1.2,0.865,0.44999999999999996,0.1479999999999999,1
6,1.225,0.45499999999999996,0.195,0.8749999999999999,1.55,1.1625,0.36999999999999994,2
7,1.05,0.24499999999999997,0.4199999999999999,1.65,0.8400000000000001,0.7725,0.285,0
8,0.6900000000000001,0.171,0.6,0.0,1.7500000000000004,1.5000000000000004,0.38499999999999995,0
9,1.625,0.0,2.525,0.12499999999999994,0.61,0.9375,0.26999999999999996,0
10,0.022999999999999972,0.8850000000000001,0.0,0.0,4.225000000000001,1.0875,0.57,0
11,1.5250000000000001,0.965,0.0,0.0,1.7500000000000004,0.6299999999999999,0.4449999999999999,0
12,1.225,1.1,0.6900000000000001,0.021999999999999905,1.55,0.66,0.22,0
13,3.725,0.475,1.05,0.99,1.025,0.9074999999999999,0.196,1
14,0.745,0.51,0.09299999999999999,0.0,2.8,0.8775,0.22,0
15,3.7750000000000004,0.56,0.198,0.0,0.9,0.825,0.07399999999999995,0
16,0.605,0.3149999999999999,0.0,0.008999999999999996,3.7500000000000004,0.27899999999999997,0.39499999999999996,0
17,1.05,1.25,0.38499999999999995,0.0,1.6750000000000003,0.0855,0.3149999999999999,0
18,0.71,0.0,0.4699999999999999,0.0,2.4,0.4425,0.555,1
19,0.03399999999999991,0.8400000000000001,0.89,0.0,2.525,0.57,0.42499999999999993,0
20,2.0000000000000004,0.07599999999999991,0.12799999999999995,1.125,0.705,0.26849999999999985,0.3099999999999999,0
21,2.425,0.0619999999999999,0.51,0.0,1.7750000000000008,0.87,0.32499999999999996,1
22,3.0,1.175,0.71,0.94,0.595,0.0,0.15499999999999992,2
23,4.700000000000001,0.10999999999999993,0.49,1.95,0.32499999999999996,0.49499999999999994,0.22999999999999995,0
24,3.125000000000001,0.34999999999999987,1.8749999999999998,0.9799999999999999,0.77,0.735,0.13599999999999998,6
25,1.3499999999999999,0.6949999999999998,0.545,0.05099999999999993,3.9000000000000004,0.78,0.2899999999999999,1
26,2.875,2.075,0.75,2.875,0.26499999999999996,0.6224999999999999,0.185,2
27,1.1,4.225000000000001,2.1,0.1369999999999999,0.5399999999999999,0.57,0.8400000000000001,2
28,3.4499999999999997,1.6999999999999995,0.66,1.5750000000000004,1.6999999999999995,0.735,0.3099999999999999,20
29,1.45,0.4699999999999999,0.51,4.3,1.3,0.5024999999999998,0.3350000000000001,0
30,1.65,2.2,4.8,1.65,0.42999999999999994,1.3125,0.25999999999999995,0
31,0.8,0.345,0.5249999999999999,0.04399999999999992,3.3249999999999997,1.125,0.505,2
32,3.0999999999999996,3.475000000000001,1.0,0.285,1.425,1.4775,0.58,2
33,1.5999999999999999,0.895,3.9000000000000004,0.2899999999999999,0.825,1.035,0.068,0
34,1.625,3.125000000000001,0.9,2.075,3.5000000000000004,0.14399999999999993,0.67,12
35,2.175,2.6250000000000004,2.35,0.53,2.75,0.7425000000000002,0.7,0
36,0.755,1.05,1.075,0.2949999999999999,2.1,0.3675,0.485,0
37,4.55,1.425,2.125,1.475,2.65,0.21449999999999997,0.1639999999999999,10
38,4.375,4.45,1.175,1.475,1.05,0.02549999999999995,0.092,2
39,0.9249999999999999,2.925,0.965,2.875,2.775,0.007499999999999904,0.018999999999999937,3
40,3.225,0.97,0.34999999999999987,0.865,0.7749999999999999,0.13049999999999978,0.2899999999999999,2
41,2.1499999999999995,1.1,4.8,2.85,4.525000000000002,0.3675,0.9500000000000001,10
42,1.15,2.475000000000001,3.8499999999999983,4.125000000000001,1.85,0.3525,0.002999999999999921,0
43,0.21,2.35,2.425,3.375,2.2250000000000005,0.6825,0.595,1
44,0.635,0.19999999999999996,0.475,0.25999999999999995,3.9749999999999996,1.4175000000000002,0.5399999999999999,1
45,2.675,0.10699999999999997,2.7250000000000005,0.0,3.5500000000000003,1.4025,0.33,0
46,0.405,1.075,3.7500000000000004,1.05,3.3,1.2,0.1989999999999999,4
47,2.9500000000000006,0.05399999999999991,4.825,0.2749999999999999,3.3500000000000005,0.4575000000000001,0.59,6
0,0.07799999999999999,0.8149999999999998,1.3999999999999997,1.8749999999999998,0.6399999999999999,0.30749999999999983,0.7200000000000001,0
1,0.30499999999999994,1.3,2.45,0.36999999999999994,1.25,0.6224999999999999,0.42499999999999993,0
2,1.8749999999999998,0.22499999999999998,0.9949999999999999,4.75,0.02699999999999992,1.1175,0.635,1
3,0.171,3.6250000000000004,0.17199999999999993,0.655,1.475,0.9825000000000002,0.08799999999999991,0
4,1.725,0.1449999999999999,0.635,3.4000000000000004,0.196,0.2909999999999999,0.44999999999999996,0
5,0.10899999999999992,2.825,1.2,2.35,0.132,0.7575,0.535,0
6,0.13399999999999998,0.83,3.5000000000000004,1.375,0.66,0.87,0.665,0
7,0.11299999999999992,0.635,2.2250000000000005,0.535,1.5250000000000001,1.4325,0.7600000000000001,0
8,0.07399999999999995,2.3,1.95,1.6750000000000003,0.26999999999999996,0.05999999999999992,0.4699999999999999,0
9,2.125,0.785,0.12899999999999992,1.6999999999999995,0.24499999999999997,0.42749999999999994,0.49,0
10,0.1599999999999999,0.30499999999999994,3.9749999999999996,0.36999999999999994,1.275,0.4124999999999999,0.755,0
11,1.725,0.26499999999999996,0.6149999999999999,1.55,0.5249999999999999,1.05,0.605,0
12,0.05099999999999993,1.15,0.24,1.0,1.7500000000000004,0.855,0.6299999999999999,2
13,0.2749999999999999,1.3,1.5750000000000004,1.8250000000000002,0.5,1.275,0.6,0
14,0.02799999999999983,0.38499999999999995,0.745,2.2,1.025,1.1175,0.7,0
15,2.675,0.26999999999999996,1.3,1.3499999999999999,0.13299999999999992,0.8475000000000001,0.8500000000000001,0
16,1.8749999999999998,0.405,0.36999999999999994,0.29999999999999993,1.55,0.5249999999999999,0.37999999999999995,0
17,0.07699999999999999,0.2749999999999999,0.04399999999999992,3.6000000000000005,0.8450000000000001,0.42749999999999994,0.91,13
18,0.26999999999999996,0.165,3.725,0.6449999999999999,1.3999999999999997,1.2225000000000001,0.39499999999999996,0
19,0.36999999999999994,1.5000000000000004,0.405,0.46,1.975,1.3575,0.36999999999999994,0
20,4.55,0.020999999999999994,1.65,1.5750000000000004,0.017,1.3125,0.765,0
21,0.5399999999999999,1.95,0.3099999999999999,0.013999999999999877,2.975,0.20549999999999988,0.345,0
22,0.09099999999999993,3.8499999999999983,2.0250000000000004,0.255,1.05,1.3725,0.59,0
23,0.021999999999999905,1.6750000000000003,1.45,0.12199999999999993,2.5749999999999997,1.035,0.42999999999999994,2
24,2.475000000000001,0.53,4.75,0.705,0.0979999999999999,0.18299999999999983,0.08099999999999996,0
25,0.14299999999999988,0.6299999999999999,1.95,4.05,0.2749999999999999,0.12299999999999986,0.44999999999999996,2
26,2.8,0.735,0.26499999999999996,0.765,0.39499999999999996,0.44999999999999996,0.6299999999999999,0
27,0.6,0.09899999999999998,3.4499999999999997,0.26499999999999996,1.7750000000000008,1.1175,0.19,0
28,2.4,2.1,0.23499999999999996,0.4699999999999999,0.45499999999999996,1.08,0.11899999999999991,0
29,4.700000000000001,0.515,1.975,0.5199999999999999,0.16699999999999984,1.3575,0.255,0
30,2.25,0.2749999999999999,1.925,0.32,0.9949999999999999,1.3125,0.1789999999999999,0
31,0.605,0.9500000000000001,0.5199999999999999,1.25,1.025,0.9599999999999999,0.26999999999999996,0
32,0.24999999999999994,0.7,4.825,1.075,1.05,1.0125,0.05299999999999995,0
33,0.08899999999999997,1.475,4.4,2.6250000000000004,0.49499999999999994,1.485,0.21,0
34,1.3,0.158,0.05599999999999986,0.6949999999999998,2.25,1.365,0.05999999999999992,0
35,0.23499999999999996,4.3,2.9500000000000006,0.171,0.8149999999999998,0.9749999999999999,0.36999999999999994,0
36,0.62,0.635,3.175,1.925,0.53,0.87,0.12699999999999995,0
37,4.3,2.275,0.14899999999999997,0.255,0.017,0.8400000000000001,0.46,0
38,0.45499999999999996,0.7200000000000001,0.09299999999999999,2.1,0.895,1.455,0.58,0
39,4.325,0.785,0.565,0.44999999999999996,0.2149999999999999,0.48,0.39999999999999997,0
40,2.55,0.6299999999999999,0.11599999999999988,1.025,0.595,0.08999999999999997,0.152,0
41,3.5000000000000004,2.875,0.021999999999999905,0.08499999999999992,0.162,0.3375,0.55,0
42,1.7500000000000004,0.2149999999999999,4.15,0.71,0.285,0.0855,0.32499999999999996,0
43,0.11199999999999985,2.7250000000000005,5.0,1.5000000000000004,0.26999999999999996,0.44999999999999996,0.2899999999999999,0
44,0.5199999999999999,0.2749999999999999,3.1500000000000004,0.13399999999999998,1.8749999999999998,1.155,0.35999999999999993,0
45,0.2899999999999999,0.3350000000000001,1.975,4.15,0.2899999999999999,0.5325,0.665,7
46,1.125,4.45,4.2,0.0399999999999999,0.006999999999999857,0.016499999999999924,0.12499999999999994,0
47,0.4149999999999999,0.162,2.1499999999999995,2.275,0.635,0.1425,0.19999999999999996,0
